text,sentiment
bullying me,negative
leave me alone,negative
DANGERously,negative
"Uh oh, I am sunburned",negative
*sigh*,negative
I`m sorry.,negative
.no internet,negative
funny.,positive
soooooo sleeeeepy!!!,negative
romance zero is funny,positive
Torn ace of hearts,negative
I give in to easily,negative
jealous..,negative
Chilliin,positive
better,positive
BADDD.,negative
I am sooo tired,negative
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
Sick.,negative
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
Happy Mothers day to all you Mums out there,positive
unfortunately,negative
Pretty,positive
I wish I was allowed to go,positive
hahaa your awesomee !,positive
awesomeeeee,positive
not well,negative
Not a prob,positive
sad?,negative
Hate fighting,negative
Car-warmed Sprite tastes like sore throat,negative
enjoyable.,positive
hate,negative
Bugger. forgot I still have washing in my machine,negative
.really bad,negative
great,positive
good morning,positive
its the best show EVER!,positive
NOT THE SECRET NAMEREBECCA PLEASE,negative
illness,negative
i totally loved it!,positive
sad,negative
oww,negative
happy 1 year! <3,positive
bored..,negative
e fun,positive
hate,negative
headache,negative
happy,positive
Feeling smooth,positive
Ew traffic,negative
I hate not having a bike..,negative
happy,positive
luv,positive
",ahaha",positive
I`m not sleeping at all un,negative
were amazing tonight..,positive
hope,positive
HAPPY,positive
Thanks,positive
depressed,negative
sorry,negative
m worried,negative
tonight in party w/ my girls (minus vita),positive
I have missed them,negative
Ship. I`m stuck.,negative
Cannot wait,positive
exhausting!,negative
?sucks!?..,negative
"doing pretty well,",positive
I Miss Daddy and Mommy,negative
oh nice going!,positive
i agree with you!,positive
Am hopeless at everything else,negative
thanks!,positive
Sorry,negative
dang,negative
this is sooo crazy,negative
Please Re,positive
aww  you loooove me,positive
awesome lucky you,positive
love,positive
I feel your pain.,negative
Sadly,negative
Cant wait,positive
aww I miss driving,negative
wish,positive
Happy,positive
"My sunburn is peeling,",negative
hate,negative
.sorry,negative
dying,negative
Have a good on,positive
Dosen`t Want To,negative
His voice is great.,positive
I sure do hope,positive
Congrats!,positive
cool,positive
a mouth for sure,positive
thanks!,positive
poor tony,negative
Goodmorning,positive
feeling like poop!,negative
Morning tweeple,positive
dammit,negative
lol.,positive
Still jealous,negative
Bouncing Rush makes me feel nauseous,negative
playing singstar without my fave duetter,negative
cool,positive
missing,negative
mean!,negative
sad.,negative
Sorr,negative
not going well,negative
Hates,negative
Thanks for the support,positive
Nyappy mother`s day to your mom`s.,positive
glad,positive
miss,negative
Thanks,positive
i am living in ignorance,negative
AWWWW  we`re gonna miss you!,negative
it was amazing,positive
not going,negative
sweet dreams,positive
Stupid,negative
Shopped til i dropped....come bac sunshine i miss u,negative
Like,positive
